sec;sdate;NAV BK DB
IXISR;2018-10-01;358,9091
IXISR;2018-10-02;353,3636
IXISR;2018-10-03;352,5593
IXISR;2018-10-04;343,9546
IXISR;2018-10-05;340,6932
IXISR;2018-10-08;341,9106
IXISR;2018-10-09;345,5893
IXISR;2018-10-10;346,2843
IXISR;2018-10-11;337,2369
IXISR;2018-10-12;343,0592
IXISR;2018-10-15;343,9493
IXISR;2018-10-16;351,1016
IXISR;2018-10-17;354,8046
IXISR;2018-10-18;351,1079
IXISR;2018-10-19;350,4702
IXISR;2018-10-22;350,8413
IXISR;2018-10-23;348,2556
IXISR;2018-10-24;340,8236
IXISR;2018-10-25;345,3466
IXISR;2018-10-26;348,4429
IXISR;2018-10-29;345,7034
IXISR;2018-10-30;351,9221
IXISR;2018-10-31;358,1645
IXISR;2018-11-01;361,163
IXISR;2018-11-02;366,3244
IXISR;2018-11-05;366,0234
IXISR;2018-11-06;367,3616
IXISR;2018-11-07;368,5543
IXISR;2018-11-08;372,0017
IXISR;2018-11-09;365,7379
IXISR;2018-11-12;356,3446
IXISR;2018-11-13;361,7653
IXISR;2018-11-14;362,2219
IXISR;2018-11-15;371,3038
IXISR;2018-11-16;377,9371
IXISR;2018-11-19;378,0027
IXISR;2018-11-21;372,4377
IXISR;2018-11-22;377,3322
IXISR;2018-11-23;376,7534
IXISR;2018-11-26;377,7002
IXISR;2018-11-27;378,5409
IXISR;2018-11-28;374,0433
IXISR;2018-11-29;382,5503
IXISR;2018-11-30;378,1314
IXISR;2018-12-03;383,2945
IXISR;2018-12-04;387,3197
IXISR;2018-12-05;384,4534
IXISR;2018-12-06;382,6197
IXISR;2018-12-07;381,627
IXISR;2018-12-10;380,1109
IXISR;2018-12-11;377,614
IXISR;2018-12-12;379,4556
IXISR;2018-12-13;384,8853
IXISR;2018-12-14;383,7945
IXISR;2018-12-17;378,6383
IXISR;2018-12-18;378,7798
IXISR;2018-12-19;384,9967
IXISR;2018-12-20;382,0131
IXISR;2018-12-21;382,7427
IXISR;2018-12-26;379,1919
IXISR;2018-12-27;382,7887
IXISR;2018-12-28;382,2391
IXISR;2019-01-02;382,4893
IXISR;2019-01-03;384,0949
IXISR;2019-01-04;387,3991
IXISR;2019-01-07;389,0906
IXISR;2019-01-08;388,1121
IXISR;2019-01-09;388,6435
IXISR;2019-01-10;393,5966
IXISR;2019-01-11;394,4348
IXISR;2019-01-14;392,4768
IXISR;2019-01-15;397,0956
IXISR;2019-01-16;398,4564
IXISR;2019-01-17;400,8974
IXISR;2019-01-18;404,1552
IXISR;2019-01-21;404,0771
IXISR;2019-01-22;404,4291
IXISR;2019-01-23;400,5075
IXISR;2019-01-24;400,7894
IXISR;2019-01-25;401,8818
IXISR;2019-01-28;397,8969
IXISR;2019-01-29;396,4582
IXISR;2019-01-30;399,4567
IXISR;2019-01-31;405,8339
IXISR;2019-02-01;408,0725
IXISR;2019-02-04;400,2586
IXISR;2019-02-06;404,7349
IXISR;2019-02-07;404,3478
IXISR;2019-02-08;402,6528
IXISR;2019-02-11;401,3586
IXISR;2019-02-12;395,0013
IXISR;2019-02-13;392,2565
IXISR;2019-02-14;390,924
IXISR;2019-02-15;389,0954
