sec;sdate;NAV BK DB
IXIIT;2022-01-18;538,9553
IXIIT;2022-01-19;535,0134
IXIIT;2022-01-20;537,6272
IXIIT;2022-01-21;547,3678
IXIIT;2022-01-24;541,2111
IXIIT;2022-01-25;535,912
IXIIT;2022-01-26;540,7795
IXIIT;2022-01-27;541,1087
IXIIT;2022-01-28;542,0515
IXIIT;2022-01-31;535,1652
IXIIT;2022-02-02;537,1957
IXIIT;2022-02-03;536,5595
IXIIT;2022-02-04;539,3108
IXIIT;2022-02-07;545,9141
IXIIT;2022-02-08;544,0868
IXIIT;2022-02-09;549,2465
IXIIT;2022-02-10;550,72
IXIIT;2022-02-11;550,5878
IXIIT;2022-02-14;546,2417
IXIIT;2022-02-15;553,6008
IXIIT;2022-02-16;553,8538
IXIIT;2022-02-17;552,4263
IXIIT;2022-02-18;556,269
IXIIT;2022-02-21;556,3737
IXIIT;2022-02-22;553,2827
IXIIT;2022-02-23;560,1743
IXIIT;2022-02-24;554,1581
IXIIT;2022-02-25;561,2531
IXIIT;2022-03-01;561,6955
IXIIT;2022-03-02;556,5289
IXIIT;2022-03-04;567,162
IXIIT;2022-03-07;564,8959
IXIIT;2022-03-08;565,9009
IXIIT;2022-03-09;569,1409
IXIIT;2022-03-10;569,7113
IXIIT;2022-03-11;573,6854
IXIIT;2022-03-14;576,4466
IXIIT;2022-03-15;575,2336
IXIIT;2022-03-16;582,4241
IXIIT;2022-03-17;577,2778
IXIIT;2022-03-18;575,4442
IXIIT;2022-03-21;577,4639
IXIIT;2022-03-22;581,7686
IXIIT;2022-03-23;581,7161
IXIIT;2022-03-24;590,4336
IXIIT;2022-03-25;585,7238
IXIIT;2022-03-28;592,0519
IXIIT;2022-03-29;586,8012
IXIIT;2022-03-30;588,8401
IXIIT;2022-03-31;587,3658
IXIIT;2022-04-01;590,8616
IXIIT;2022-04-04;594,133
IXIIT;2022-04-05;596,7459
IXIIT;2022-04-06;590,6924
IXIIT;2022-04-07;592,9976
IXIIT;2022-04-08;599,906
IXIIT;2022-04-11;591,6803
IXIIT;2022-04-12;596,4384
IXIIT;2022-04-13;601,2582
IXIIT;2022-04-14;595,4327
IXIIT;2022-04-18;599,8427
IXIIT;2022-04-19;597,0141
IXIIT;2022-04-20;606,7095
IXIIT;2022-04-21;613,7466
IXIIT;2022-04-22;609,7162
IXIIT;2022-04-25;614,6642
IXIIT;2022-04-26;621,2049
IXIIT;2022-04-27;620,2595
IXIIT;2022-04-28;627,4989
IXIIT;2022-05-09;592,9833
IXIIT;2022-05-10;591,1318
IXIIT;2022-05-11;593,6666
IXIIT;2022-05-12;575,6612
IXIIT;2022-05-13;576,871
IXIIT;2022-05-17;580,4664
IXIIT;2022-05-18;586,9118
IXIIT;2022-05-19;583,5127
IXIIT;2022-05-20;586,636
IXIIT;2022-05-23;579,3621
IXIIT;2022-05-24;588,3608
IXIIT;2022-05-25;583,9764
IXIIT;2022-05-27;597,5851
IXIIT;2022-05-30;595,7069
IXIIT;2022-05-31;611,9048
IXIIT;2022-06-02;601,4186
IXIIT;2022-06-03;603,7829
IXIIT;2022-06-06;600,9583
IXIIT;2022-06-07;597,4391
IXIIT;2022-06-08;604,0933
IXIIT;2022-06-09;599,3132
IXIIT;2022-06-10;587,7935
IXIIT;2022-06-13;582,756
IXIIT;2022-06-14;587,8832
IXIIT;2022-06-15;584,0555
IXIIT;2022-06-16;586,4736
IXIIT;2022-06-17;575,2588
IXIIT;2022-06-20;581,1164
IXIIT;2022-06-21;587,1974
IXIIT;2022-06-22;580,9526
IXIIT;2022-06-23;583,6835
IXIIT;2022-06-24;586,3799
IXIIT;2022-06-27;581,2343
IXIIT;2022-06-28;579,4845
IXIIT;2022-06-29;572,579
IXIIT;2022-06-30;570,1212
IXIIT;2022-07-01;560,4446
IXIIT;2022-07-04;547,2555
IXIIT;2022-07-05;551,3249
IXIIT;2022-07-06;545,1479
IXIIT;2022-07-07;545,119
IXIIT;2022-07-08;552,6915
IXIIT;2022-07-11;548,9021
IXIIT;2022-07-12;546,7447
IXIIT;2022-07-13;538,4774
IXIIT;2022-07-14;545,7314
IXIIT;2022-07-15;540,3372
IXIIT;2022-07-18;542,3318
IXIIT;2022-07-19;547,1444
IXIIT;2022-07-20;561,9881
IXIIT;2022-07-21;560,8044
IXIIT;2022-07-22;561,568
IXIIT;2022-07-25;557,9901
IXIIT;2022-07-26;559,2218
IXIIT;2022-07-27;562,4078
IXIIT;2022-07-28;565,2568
IXIIT;2022-07-29;564,805
IXIIT;2022-08-01;566,8227
IXIIT;2022-08-02;571,2863
IXIIT;2022-08-03;577,2407
IXIIT;2022-08-04;579,3484
IXIIT;2022-08-05;582,1589
IXIIT;2022-08-08;582,0869
IXIIT;2022-08-09;583,4474
IXIIT;2022-08-10;582,6857
IXIIT;2022-08-11;588,5778
IXIIT;2022-08-12;584,5113
IXIIT;2022-08-15;580,6944
IXIIT;2022-08-16;586,5754
IXIIT;2022-08-18;592,3834
IXIIT;2022-08-19;589,7662
IXIIT;2022-08-22;585,4534
IXIIT;2022-08-23;589,4918
